_id,prefix,suffix,oldPart,newPart,prevSent,nextSent,label
ObjectID(5527df88a21e5709f6e95ece),"Hamlet begins with Francisco on watch duty at Elsinore","to Horatio, Hamlet's friend.","Castle in Denmark, and","Castle, on a cold,","The play is set at Elsinore Castle, (which is based on the real Kronborg Castle, Denmark.) The time period of the play is somewhat uncertain, but can be understood as mostly Renaissance, contemporary with Shakespeare's England.","The sentries notify the prince, prompting his investigation into the matter.","X"
ObjectID(5527ed13a21edceb734d6116),"The music for Call of Duty 4: Modern Warfare was mostly written by British composer Stephen Barton, who had also contributed","by Harry Gregson-Williams.","music to films scored","to film scores","Audio","Gregson-Williams also composed some additional music for the game, such as the main theme.","Paraphrase"
ObjectID(5527e566a21e3a63c2ac8023),"In 1990, following the Hillsborough Disaster, a report was issued requiring all stadia be converted to","subsequent renovation, which dropped capacity to around 44,000.","all-seaters, leading to","all-seaters and","44-45","However, in 1995, the North Stand was redeveloped into three tiers, bringing the capacity up to approximately 55,000.","Paraphrase"
ObjectID(5527dac5a21e5709f6e946a1),"After a self-imposed ""retirement""","Lennon reemerged with a comeback album, Double Fantasy, but was murdered less than one month after its release.","from 1976 to 1980,","to raise his son,","-->""Give Peace a Chance"" and ""Imagine"".","The album would go on to win the 1981 Grammy Award for Album of the Year.","Factual"
ObjectID(5527e96da21e3a63c2ac91a2),"Among them, the Sunnis form the most populous sect, while","of the local Muslims are Alevis.","approximately 15 to 30%","a number","The Muslims are the largest religious group in Istanbul.","In 2007 there were 2,944 active mosques in Istanbul.Vatan - Diyanet: Türkiye’de 79 bin 096 cami var","Factual"
ObjectID(5527e616a21e3a63c2ac81e3),"The club currently","Premier League, of which they were founding members in 1992.","play in the","plays in the FA","Manchester United Football Club is an English professional football club based in Stretford, Greater Manchester.","Having won a joint-record 18 league titles, four League Cups and a record 11 FA Cups, Manchester United is one of the most successful clubs in the history of English football and one of the wealthiest and most widely supported football teams in the world. Alex Ferguson has been manager since 6 November 1986 and is the most successful manager in the club's history, having won 26&nbsp;major honours","Factual"
ObjectID(5527dafaa21e0e4c0a9da8ca),"It had previously operated under the Julian Calendar,","the Gregorian Calendar.","but, after 1752, used","but during 1752 adopted","In 1752, Great Britain reformed its calendar.","Furthermore, 1 January became the official beginning of the New Year, instead of 25 March.","Paraphrase"
ObjectID(5527e4c4a21e5709f6e97378),"The Emperor Penguin, along with nine other species of penguin, is currently being considered for placement under","","the Endangered Species Protection Act.","my bed.","Conservation status","The primary reasons for this are declining food availability due to the effects of climate change, and industrial fisheries on the crustacean and fish populations.","Other"
ObjectID(5527e579a21e0e4c0a9dde09),"If both of the cup winners qualify for Europe through their league position, the","teams in the Premier League will qualify for the Europa League.","6th and 7th-placed","sixth and seventh-placed","If one of the cup winners qualifies for Europe through their league position, the sixth-placed team in the Premier League will qualify for the Europa League.","Cup runners-up will not qualify for Europe unless they do so through their league finish.cite web | url =  | title = Could it be seventh heaven?","Paraphrase"
ObjectID(5527dc93a21e5709f6e94ae2),"According to biographer Philip Norman, one of his reasons for","he was physically attracted to Lennon.","doing so was that","wanting to the manage the group was because","A record store manager, Epstein was homosexual, at a time of strong and widespread social prejudice against homosexuality.","Biographer Bill Harry disagrees, saying the band ""were not the type of sexual partners Brian was interested in"".","Paraphrase"
ObjectID(5527e797a21edceb734d46fa),"Mercury’s surface is","showing extensive mare-like plains and heavy cratering, indicating that it has been geologically inactive for billions of years.","very dum,","overall very similar in appearance to that of the Moon,","","Since our knowledge of Mercury's geology is based on only a single spacecraft flyby, it is the least well understood of the terrestrial planets.","X"
ObjectID(5527ea2ea21e5709f6e99101),"The nobility's condescending attitude towards the commoners was present as late as the 1950s (Sandra 1998), and the nobility is still","of family prestige.","maintained, because","maintained for reasons","There were three strata: nobles, commoners, and slaves, although the latter was abolished in 1909 by the Dutch East Indies government.","Nobles, who are said to be direct descendants of a person (to manurun) descended from heaven (Wellenkamp 1988), lived in tongkonans, while commoners lived in a less lavish houses.","Paraphrase"
ObjectID(5527d644a21e4a5a1c938115),"","Esther caused seven indirect deaths when a Navy P5M aircraft crashed.","Despite the relatively minimal land damage,","While over open waters,","Navy plane crash","The plane crashed about 120 miles (195 km) north of Bermuda.","X"
ObjectID(5527d624a21e3a63c2ac30d0),"","""The federal flag shall be black, red, and gold.""","Article 22 of the Geran basic law (constitution) says, that","In the Basic Law for the Federal Republic of Germany — the German constitution — Article 22 states:","350px|right|Specifications for the flag of Germany","Following specifications set by the (West) German government in 1950, the flag displays three bars of equal width and has a width-length ratio of 3:5. The flag used during the Weimar Republic was slightly different, with a ratio of 2:3.","X"
ObjectID(5527e3cda21e5709f6e96e3a),"Three celestial globes are in Germany, one each in Zerbst, Nuremberg (at the Germanisches Nationalmuseum (German National Museum)) and Kassel (Hessisches Landesmuseum","Kassel).","(Museum of Hesse),","(Hesse Museum),","It appears that only six Molyneux globes are in existence today, two terrestrial globes and four celestial globes.","The Hessisches Landesmuseum originally had a 1592 terrestrial globe, but this is believed to have been destroyed during World War II.","Paraphrase"
ObjectID(5527dd13a21e5709f6e94d19),"Consultation on the elimination of Female Genital Mutilation:","1998.","14-16 December,","14 December -16 December","394-412.","UNICEF, NY,1999, 40p.","Paraphrase"
ObjectID(5527d6a8a21e3a63c2ac3463),"They were meant for mainly townsmen, who","an original painting.","weren't rich enough to buy","were generally not wealthy enough to afford","Ukiyo-e were affordable because they could be mass-produced.","The original subject of Ukiyo-e was city life, in particular activities and scenes from the entertainment district.","Paraphrase"
ObjectID(5527e43ba21edceb734d2de8),"","suggests that prior to the capture Triton may have had a massive companion similar to Pluto's moon Charon.","A recent theory","Theoretical work","","When the binary encountered Neptune, Triton's companion was expelled providing the required mechanism to capture Triton in an orbit around the planet.","Paraphrase"
ObjectID(5527e771a21e3a63c2ac89d5),"The headquarters","Hürriyet, Milliyet, Sabah, Tercüman, Milli Gazete, Zaman, Yeni Asya, Cumhuriyet.","in Istanbul, including","of publisher in includes","Most newspapers are based in Istanbul, with simultaneous Ankara and İzmir editions.","Local Tv stations exists.","Factual"
ObjectID(5527f02fa21e3a63c2acad6a),"As an adult, Reagan was a member of Bel Air Presbyterian","during his presidency.","Church but never attended church regularly, including","Church, but didn't attend regularly","""My parents constantly drummed into me the importance of judging people as individuals"", Reagan recalled.","In a March 1978 letter to a Methodist minister who was skeptical about Christ's divinity&mdash;and accused Reagan of a ""limited Sunday school level theology""&mdash;Reagan argued strongly for Christ's divinity, using C.S. Lewis's Trilemma.","Paraphrase"
ObjectID(5527de65a21e5709f6e9520e),"Its colors were red, green, and blue respectively,","","but its symbolism is unknown.","representing the band of colors that Noah saw after landing on Mount Ararat.","While in France, Alishan also designed a second flag, identified today as the ""Nationalist Armenian Flag.""  It too was a tricolor, however, it was a vertical tricolor, like the French flag.","Democratic Republic of Armenia","Factual"
